lemma;id;pos;gloss;Russian gloss
накынути;139287;V-;throw on;накинуть
накладъ;138240;Nb;loss;убыток
накладывати;135574;V-;assign;назначать
накласти;140836;V-;put;наложить
наклонити;140863;V-;bend;наклонить, возвр: наклониться
наклоняти;142648;V-;bend;наклонять
наколотити;136858;V-;hammer;набить
наконьць;130363;Df;eventually;в конце концов
накопити;142674;V-;accumulate;накопить
накосъ;140510;Df;diagonally;наискось
накра;143203;Nb;percussion (kind of a tambourine or drum);ударный инструмент (род бубна, барабана)
накрѣпько;137526;Df;closely;строго
накърмити;133727;V-;feed;накормить
налагати;140503;V-;put;накладывать
належание;142834;Nb;(intense ongoing action);(интенсивное непрекращающееся действие)
налечи;133257;V-;attack;напасть
налити;136174;V-;pour;налить, возвр: наполниться
налияти;131276;V-;pour;наливать
наложити;133040;V-;put;наложить
наложьница;129790;Nb;concubine;наложница
налои;138763;Nb;lectern;аналой
наломити;131519;V-;fracture;надломить
налонъ;144285;Nb;fee on ship;плата за проезд на корабле
налѣгати;133282;V-;lean, attack;налегать
налѣзти;123807;V-;encounter, find, get, reach;натолкнуться, найти, добыть, достигнуть
намерзати;140054;V-;freeze on;намерзать
намочити;136696;V-;wet;намочить
намълвити;133784;V-;instigate;подговорить
намѣнити;132651;V-;call;назвать
намѣстьникъ;123477;Nb;governor;наместник
намѣстьничии;123878;A-;governor;наместничий
нанести;133489;V-;send down;наслать
наносити;141250;V-;cause, carry;наносить
наношение;136045;Nb;delation;донос
наняти;139481;V-;get employed;возвр: наняться
нападати;143441;V-;attack;нападать
нападение;134912;Nb;insult (harm);нападение
напасти;123713;V-;attack, fall;напасть
напасть;132455;Nb;adversity;напасти
напастьныи;131579;A-;those in misery;страдающий от напасти
напаяти;124936;V-;give to drink;напаивать
напередъ;137066;Df;in advance, ahead, first;вперед, в первую очередь
напехати;140627;V-;cram into;напихать
написати;121280;V-;write down;написать
написовати;135089;V-;write down;записывать
напитати;133636;V-;feed;накормить
напити;140251;V-;drink of;возвр: напиться
наплънити;143307;V-;fill;наполнить
наплъняти;143123;V-;fill;наполнять
напоити;125232;V-;give to drink;напоить
направити;134739;V-;forward;направить
направление;134390;Nb;direction;направление
направляти;142675;V-;guide;направлять
напрасьно;135588;Df;in vain;напрасно
напрасьныи;125571;A-;sudden, shameless;внезапный, бесстыдный
напрѣдъ;143548;Df;forward;вперед
напрящи;133527;V-;pull;натянуть
напустити;143392;V-;attack, throw;напасть, бросить
напълнити;132392;V-;fill;наполнить
напълняти;143333;V-;fill;наполнять
напяти;133430;V-;put on (the shaft);натянуть (на древко)
наречи;122676;V-;name;наречь
нарицати;120288;V-;name;нарицать
наровити;135616;V-;relieve;давать послабление
народъ;130645;Nb;people;народ
нарокъ;140178;Nb;on purpose;нарочно
нарочитыи;124862;A-;notable;знатный
нарта;139483;Nb;sled;нарты
нарубати;131510;V-;recruit;набирать
нарубити;130769;V-;recruit;набрать
наругати;140219;V-;offend;оскорбить
нарядець;135391;Nb;dress;нарядец
нарядити;132168;V-;set, put in order, charge, dress, prepare;назначить, поставить в боевом порядке, снарядить, зарядить, нарядить, приготовить
наряжати;124057;V-;put in order, manage, make, dress up, specify;приводить в порядок, распоряжаться, изготавливать, наряжать, указать
наряживати;133718;V-;assign, order;назначать, расставлять в боевом порядке
насадити;129846;V-;plant;садить
насадъ;131523;Nb;type of vessel;вид судна
населити;131511;V-;settle;заселить
насилие;120419;Nb;violence;насилие
насилити;137763;V-;do violence;совершать насилие
насилу;138859;Df;scarcely, by force;едва, насильно
насильствовати;132373;V-;rape;насиловать
насиляти;122692;V-;inhabit, torment;населять, мучить
наскочити;138843;V-;come on;наскочить
насладити;133524;V-;enjoy;насладиться
наслажати;129827;V-;enjoy;наслаждаться
наслажение;134316;Nb;pleasure;наслаждение
наслѣдие;134382;Nb;inheritance;наследство
наслѣдити;120415;V-;inherit;унаследовать
наслѣдовати;141093;V-;inherit;унаследовать
наслѣдъкъ;123159;Nb;heir;наследник
наслѣдьникъ;134683;Nb;heir;наследник
насмѣхати;132344;V-;mock;насмехаться
насорити;136975;V-;litter;сорить
насреди;140838;R-;amid;посреди
наставати;138706;V-;begin;наставать
наставити;138851;V-;instruct;наставить
наставляти;143160;V-;edify;наставлять
наставъ;137744;Nb;surcharge;надбавка
наставьникъ;133081;Nb;mentor;наставник
наставьница;143156;Nb;preceptress;наставница
настасъ;131813;Ne;Nastas;Настас
настася;140656;Ne;Nastasia;Настасья
настати;122915;V-;begin;настать
настольникъ;124293;Nb;successor;преемник
наступати;143071;V-;tread;наступити
наступити;133262;V-;tread;наступити
насъпъ;135605;Nb;surcharge;надбавка
насыпати;140161;V-;fill;насыпать
насытити;132337;V-;saturate;насытить
насыщати;139888;V-;saturate;насыщать
насьрдъка;139580;Nb;grudge;недоброжелательство
насѣвати;132563;V-;instill;внушать
насѣяние;132562;Nb;inculcation;внушение
насѣяти;132109;V-;sow;засеять
натина;136650;Nb;haulm;ботва
натѣшити;139500;V-;amuse oneself;тешиться
наузъ;135488;Nb;black magic;черная магия
наукъ;135112;Nb;science;наука
наустити;129958;V-;instigate;подговорить
наутрия;129720;Df;next morning;наутро
наутро;139023;Df;next morning;наутро
научати;141247;V-;learn;учить
научение;131953;Nb;teaching;учение
научити;120379;V-;teach;научить
наущение;132542;Nb;teaching;учение
находити;120416;V-;tread, find;наступать, находить
нахоръ ;130699;Ne;Hahor;Нахор
нацидити;136518;V-;strain;цедить
начало;130038;Nb;start;начало
началъ;139027;Nb;beginning;начало
начальникъ;130695;Nb;superior;начальник
начальница;125316;Nb;headmistress;начальница
начальственныи;135044;A-;being a principal;начальственный
начатъкъ;125310;Nb;start;начало
начаяти;141205;V-;begin;начать
начинание;139100;Nb;act;поступок
начинати;130671;V-;start;начинать
начинити;135715;V-;to stuff;начинить
начинка;135719;Nb;stuffing;начинка
начисто;135705;Df;clean;начисто
нашьствие;123804;Nb;invasion;нашествие
наѣсти;139726;V-;load up;наесться
наѣхати;139837;V-;go;ехать
наяти;124696;V-;hire;нанять
не;135422;C-;neither... nor...;ни
не быти;120792;V-;not to be;не быть
небережение;141009;Nb;neglect;небрежность
небесьныи;125312;A-;of heaven;небесный
неблагодарьныи;143210;A-;ungrateful;неблагодарный
неблагословеныи;135609;A-;not blessed;неблагословенный
небо;120313;Nb;sky, heaven;небо
небольшои;139546;A-;small;небольшой
небрегомо;135054;Df;without attention;без внимания
небрѣжение;134842;Nb;neglect;пренебрежение
небрѣженыи;135404;A-;careless;небережный
небрѣщи;125051;V-;neglected;небречь
небытие;138913;Nb;nothingness;небытие
невеликыи;134523;A-;small;небольшой
невещественьныи;140776;A-;immaterial;невещественный
невидимо;133191;Df;invisibly;невидимо
невидимыи;130620;A-;invisible;невидимый
невиноватыи;136056;A-;not guilty, innocent;невиноватый, невинный
нево;122750;Ne;Nevo (Ladoga);Нево (Ладога)
неводъ;132232;Nb;seine;невод
неволя;124851;Nb;captivity;неволя
неврѣженыи;133927;V-;unscathed;невредимый
неврѣженыи;134843;A-;safe;невредимый
невъздьржьныи;141366;A-;intemperate;невоздержанный
невъмѣстьныи;143349;A-;indecent;неподобающий
невъсклонно;140352;Df;not rising;не вставая
невѣгласъ;129821;Nb;ignoramus;невежда
невѣголосъ;134939;Nb;ignoramus;невежда
невѣдомо;138955;Df;who knows;неизвестно
невѣдомыи;141155;A-;unknown;неизвестный
невѣжда;135052;Nb;ignoramus;невежда
невѣрьныи;125055;A-;infidel;неверный
невѣста;120436;Nb;bride;невеста
невѣстка;135834;Nb;daughter-in-law;невестка
негасимыи;141098;A-;ever-burning;негасимый
негли;137004;Df;may be, really;может быть, разве
негодование;130411;Nb;indignation;негодование
негодовати;133220;V-;resent;негодовать
негодьныи;137296;A-;unfit, not wotrh;негодный, не стоит
негостань;144050;Ne;Negostan (Ormus);Негостань (Ормуз)
негъдѣ;139556;Df;somewhere;куда-нибудь
недалече;141503;R-;not far;недалеко
недачь;141017;Ne;Nedach;Недач
недобрыи;136046;A-;bad quality, unkind;плохой, злой
недоразумьно;140515;Df;hard to believe;трудно поверить
недостатъкъ;136686;Nb;shortcoming;недостаток
недостатъчьныи;136319;A-;disable;имеющий недостаток
недостоиныи;130629;A-;unworthy;недостойный
недоумѣти;131474;V-;be puzzled;недоумевать
недругъ;137419;Nb;foe;недруг
недрѣманьныи;131613;A-;sleepless;недреманный (неспящий)
недугъ;125506;Nb;disease;недуг
недужии;125538;A-;sick;недужный
недужьныи;125480;A-;sick;недужный
недѣльныи;123798;A-;Sunday;недельный
недѣля;123590;Nb;week;неделя
неже;131551;Df;than;нежели
неже;141129;C-;and not, rather than;а не, нежели
нежели;131550;Df;than, not to mention;нежели, не говоря уже о том
независтьныи;123640;A-;generous;щедрый
незаконьныи;135573;A-;not blessed by low;незаконный
незнаемыи;133502;A-;unknown;неизвестный
незълобивыи;132875;A-;hateless;незлобивый
неизмолимыи;141101;A-;inescapable;неотвратимый
неизмѣньно;140468;Df;always;неизменно
неизреченьно;138931;Df;undescribably;неизреченно
неизреченьныи;125510;A-;inconceivable;неизреченный
неизреченьнѣ;130873;Df;inconceivably;неизреченно
неимовитыи;124679;A-;poor;неимущий
неискусьныи;134389;A-;virginal;непорочный
неисповѣдимыи;143162;A-;inscrutable;неисповедимый
неистовыи;125688;A-;furious;неистовый
неистовѣ;143466;Df;madly;неистово
неисцѣльныи;143177;A-;incurable;неисцелимый
неисчьтьныи;132116;A-;innumerable;неисчислимый
неключимыи;144429;A-;low;негодный
некрьщеныи;124719;A-;not baptized;некрещеный
нектанъ;122435;Ne;Nektan;Нектан (Иоктан)
неладьныи;140086;A-;wrong;неправильный
нелединскыи;139009;A-;Neledin;нелединский
нелицемѣрьно;133076;Df;unhypocritically;нелицемерно
нелицемѣрьныи;139680;A-;unhypocritical;нелицемерный
нелфетовъ;133625;A-;Nelfet's;нелфетов
нелъжьныи;144383;A-;not lying;нелживый
нелѣпыи;133576;A-;not beautiful, not fit;некрасивый, не подобает
нелюбыи;130064;A-;unpleasant;неприятно
немало;125619;Df;a lot of;немало
немалыи;144073;A-;large;немалый
немига;132309;Ne;Nemiga;Немига
немилостивыи;124078;A-;merciless;беспощадный
немилостивьно;131913;Df;mercilessly;беспощадно
неминучии;139646;A-;inevitable;неминучий
немирьныи;139659;A-;not peaceful;немирный
немножько;139017;Df;a bit;немножко
немощь;131904;Nb;weakness;бессилие
немощьныи;130659;A-;infirm;немощный
немъного;138939;Df;a bit;немного
немъногыи;142776;A-;few;немногий
немятежьныи;140357;A-;not rebellious;немятежный
ненавидьно;132169;Df;in hate;в ненависти
ненависть;125369;Nb;hatred;ненависть
ненадобьныи;137061;A-;unnecessary;ненадобный
необычьныи;135914;A-;unusual;необычный
неонила;138919;Ne;Neonila;Неонила
неоскудьныи;133482;A-;abundant;неоскудевающий
неослабьно;138988;Df;incessantly;беспрестанно
неотъступьно;141437;Df;persistently;неотступно
неотъступьныи;143314;A-;persistent;неотступный
неплодьныи;140844;A-;fruitless;не дающий плодов
неплодьскыи ;130844;A-;childless;бесплодный
непобѣдимыи;133878;A-;invincible;непобедимый
неповиньныи;133769;A-;innocent;неповинный
непогребеныи;140741;A-;unburied;непогребенный
неподвижимо;132789;Df;motionlessly;неподвижно
неподвижимыи;141482;A-;unmovable;недвижимый
неподвижьныи;130861;A-;motionless;неподвижный
неподобьныи;135509;A-;illicit;нечестивый
непоколѣбимо;136222;Df;firmly (unshakeably);непоколебимо
непокоривыи;142798;A-;disobedient;непокорный
непользьныи;125615;A-;useless;неполезный
непомножку;135237;Df;little by little;понемногу
непополъзновенныи;140463;A-;steadfastly;стойко
непорочьныи;130898;A-;virginal;непорочный
непостижимыи;138645;A-;incomprehensible;непостижимый
непостояньныи;138649;A-;having no fixed place;не имеющий постоянного места
непоступьныи;141483;A-;motionless;неподвижный
непотрѣбьныи;135104;A-;inappropriate;непотребный
непочатыи;137091;A-;not opened;непочатый
неправо;140550;Df;wrong;неправильно
неправьда;131485;Nb;wrong, injustice;неправда, несправедливость
неправьдьныи;131910;A-;unrighteous;неправедный
непраздьныи;129740;A-;pregnant;беременный
неприступьныи;138646;A-;difficult to approach;к которому трудно подступиться
неприязньныи;124943;A-;diabolic;дьявольский
неприятьныи;135025;A-;which cannot be accepted;который нельзя принять
непроходимыи;139215;A-;impenetrable;непроходимый
непрѣмѣньно;143417;Df;unceasingly;непрестанно
непрѣстаньно;143207;Df;unceasingly;непрестанно
непрямо;135590;Df;wrong;неправильно
нерадьць;132894;Ne;Neradets;Нерадец
неразмѣсьно;130829;Df;without confusion;без смешения
неразумичьныи;141173;A-;unwise;неразумный
неразумьныи;144392;A-;unwise;неразумный
нерасьсудьныи;137076;A-;reckless;безрассудный
неродивыи;142759;A-;negligent;нерадивый
нероженыи;130833;A-;unborn;нерожденный
нерома;123069;Ne;Neroma (Samogitians);нерома (жемайты)
нероновъ;138864;Ne;Nero's;Неронов
неронъ;132245;Ne;Nero;Нерон
нерукотвореныи;143172;A-;not made with hands;нерукотворный
нерьча;139545;Ne;Nercha;Нерча
несквьрньныи;133559;A-;spotless;незапятнанный
нестишь;134459;Df;very often;очень часто
несторь;130904;Ne;Nestor;Нестор
нестроиныи;135518;A-;unfavorable;неблагоприятный
несумьньно;134889;Df;with no doubts;несомненно
несъвратьныи;131132;A-;invariable;неизменный
несъвьршеныи;132634;A-;imperfect, immature;несовершенный, незрелый
несъгласьныи;140956;A-;discordant;несогласный
несъмысльныи;133244;A-;inexperienced;несмышленный
несъпасьныи;141097;A-;not giving salvation;не дающий спасение
несытыи;129815;A-;insatiable;ненасытный
нетвьрьдыи;132508;A-;not firm;нетвердый
нетьлѣньныи;130875;A-;imperishable;нетленный
неувядаемыи;134754;A-;unfading;неувядаемый
неувядающии;131621;A-;unfading;неувядающий
неугасимыи;143674;A-;inextinguishable;неугасимый
неугодьныи;135519;A-;unfavorable;неблагоприятный
неудобь;142757;Df;with difficulties, hard;с трудом, невозможно
неудобьныи;138892;A-;terribly, unpleasant;страшно
неудобьство;139237;Nb;inconvenience;неудобство
неуклоньныи;131612;A-;uncompromising;неуклонный
неумѣние;144433;Nb;ineptitude;неумение
неумѣяи;144437;A-;not able;не умеющий
неусыпаяи;130277;A-;sleepless;неусыпный
неученыи;140370;A-;uneducated;неученый
нефталимъ ;131003;Ne;Nethtalim;Нефталим
нехотя;140849;Df;unwilling;нехотя
нечаемыи;140846;A-;unexpected;неожидаемый
нечеловѣчьныи;134857;A-;inhuman;нечеловеческий
нечистота;120499;Nb;impurity;нечистота
нечистыи;123278;A-;devilry;нечистый
нечувьствьныи;139583;A-;unfeeling, insensible;бесчувственный
нечьстивыи;125062;A-;unholy;нечестивый
нещадьно;143309;Df;mercilessly, unsparingly;нещадно, беспощадно
ни;121271;Df;neither, even;ни
нива;124804;Nb;field (arable);нива
никъдѣ;139540;Df;anywhere;нигде
ниже;134143;Df;lower, even if;ниже, даже если
ниже;141139;C-;and not, rather than;и не, нежели
нижегородьскыи;138736;A-;Nizhni Novgorod;нижегородский
нижьнии;135396;A-;low;нижний
низенько;139750;Df;low;низенько
низълетѣти;143079;V-;fly down;слететь
низъ;135538;Df;down;вниз
никако;133652;Df;not at all;никак
никаковъ;140894;Px;no;никакой
никакоже;140031;Df;not at all;никак
никакыи;123437;Px;no;никакой
никаможе;137087;Df;nowhere;никуда
никии;130896;Ne;Nicaea;Никея
никита;133443;Ne;Nikita;Никита
никитинъ;139102;A-;Nikita's;никитин
никифоровъ;133655;A-;Nikephor's;Никифоров
никифоръ;134328;Ne;Nikephoros, Nikiphor;Никифор
никия;130930;Ne;Nicaea;Никея
никодимъ;140192;Ne;Nikodim;Никодим
никола;121095;Ne;Nikolai;Никола
никольскыи;141417;A-;Nikolski;никольский
никонияне;140519;Nb;Nikonian;никонианцы
никонияньскыи;141536;A-;Nikon's;никонианский
никонъ;132702;Ne;Nikon;Никон
никоторыи;136985;Px;no;никакой
никуда;136215;Df;anywhere;никуда
никуды;135965;Df;anywhere;никуда
никъгда;137191;Df;never;никогда
никъгдаже;125478;Dq;never;никогда и
никъдѣже;130722;Df;anywhere;нигде
никъто;124240;Px;no one;никто
никътоже;122925;Px;no one;никто
никыи;130109;Px;none;никакой
никыиже;135323;Px;none;никакой
ниневгитянинъ;132584;Nb;Nineveh resident;житель Ниневии
нитъка;125030;Nb;thread;нитка
нить;142731;Nb;yarn;нить
ничьто;124688;Px;nothing;ничто
ничьтоже;130817;Px;nothing;ничто
нищета;125466;Nb;poverty;нищета
нищии;129877;A-;pauper;нищий
новъгородьскыи;123569;A-;Novgorod;новгородский
новыи;123758;A-;new;новый
ногъть;123983;Nb;nail, pounce;ноготь, коготь
ноевъ;120605;A-;Noah's;ноев
ножь;131559;Nb;knife;ножь
ножька;137555;Nb;leg;ножка
нои;124984;Ne;Noah;Ной
ноли;133835;G-;if;если
ноли;134214;Df;only;только
номоканонъ;141063;Nb;nomocanon;свод церковных правил и гражданских законов
ноньма;123877;Df;now;ныне
нора;143075;Nb;burrow;нора
норовъ;125077;Nb;temper;норов
носити;120786;V-;wear, carry;носить
носохинъ;124132;Ne;Nosokhin;Носохин
носъ;135950;Nb;nose;нос
ночевати;136946;V-;spend the night;ночевать
ночь;124515;Nb;night;ночь
ночьлегъ;134042;Nb;lodging for the night;ночлег
ночьныи;133693;A-;night;ночной
нощьныи;132560;A-;night;ночной
ноябрь;133374;Nb;November;ноябрь
нравъ;123245;Nb;temper;нрав
ну;139626;Df;well;ну, ну-ка
нужа;132780;Nb;need, woe, by force;нужда, нужно, силой
нужда;144375;Nb;need;нужда
нужица;140405;Nb;need;надобность
нужьныи;132594;A-;need, useful;нужный
нумидия;124007;Ne;Numidia;Нумидия
нура;137115;Ne;Nura;Нура
нутрьныи;123499;A-;interior;внутренний
нынѣ;121087;Df;now;ныне
нынѣшьнии;141456;A-;today, present;нынешний
нѣдро;138704;Nb;bosom;недро
нѣжатинъ ;132830;A-;Nezhata's;Нежатин
нѣкакыи;137258;Px;some, any;некий, какой-нибудь
нѣкамо ;130534;Df;nowhere;некуда
нѣколи;138811;Df;no time, at one time, not long ago;некогда, недавно
нѣколико;125647;Df;some time, some;некоторое время, несколько
нѣколикыи;142768;Px;some quantity;некоторый
нѣкоторыи;133123;Px;some, any;один, некоторый
нѣкуды;144267;Df;it is impossible;нельзя
нѣкъгда;138744;Df;sometime, once;когда-то, однажды
нѣкъто;132108;Px;someone;некто
нѣкыи;124091;Px;some, any;некий
нѣмьчьскыи;136230;A-;German, Western;немецкий
нѣмота;135535;Nb;muteness;немота
нѣмьць;123718;Nb;German;немец
нѣчьто;132605;Px;something;нечто, что-либо
о;123923;I-;o;о
оба;132666;Ma;both;оба
оба;139892;Ne;Ob;Обь
обаполы;131800;R-;both sides;с обеих сторон
обаполъ;136268;R-;both sides;по двум сторонам
обезиянинъ;143902;A-;monkey's;обезьяний
обезияньскыи;143805;A-;monkey;обезьяний
обои;130753;Ma;both;оба
оболоньскыи;123521;A-;Obolon;оболонский
обоюдуострыи;134886;A-;two-edged;обоюдоострый
обровъ;133906;Ne;Obrov;Обров
обычьныи;132143;A-;everyday, standard;обычный
обѣтованыи;130336;A-;promised;обетованный
овинъ;141090;Nb;barn;овин
ово;125038;C-;now... now...;то... то...
овчинъ;133987;A-;Ovchin;Овчин
огнищанинъ;138259;Nb;fireplace man (official);огнищанин (тиун)
огрофена;139487;Ne;Agrafena;Аграфена
одале;139414;Df;in the distance;вдали
единънадесять;131332;Ma;11;11
одинако;139554;Df;however;однако
одинъ;123663;Ma;one;один
одиныи;134539;Ma;one, the only;один, единый, единственный
одрьскъ;133905;Ne;Odrsk;Одрск
оже;139089;C-;or;или, же
ока;123052;Ne;Oka;Ока
оковъ;133984;Nb;fetters;оковы
оковьскыи;122792;A-;Okovski;оковский
около;122581;R-;near, next to;около
около;124510;Df;around;вокруг
округъ;134735;R-;around;вокруг
окрьстъ;134707;R-;in neighborhood;окрест
оле;135559;I-;oh;о
олексиничь;141397;A-;Oleksa's;Олексин
олена;124968;Ne;Olena (Elena);Олена (Елена)
олъвания;124099;Ne;Albania;Олвания (Албания)
олъминъ;121089;A-;Olmin;Ольмин
ольбегъ;133038;Ne;Olbeg;Ольбег
ольга;123162;Ne;Olga;Ольга
ольговъ;130520;A-;Oleg's, Olga's;Олегов, Ольгин
ольгъ;120818;Ne;Oleg;Олег
ольжинъ ;125110;A-;Olga's;Ольгин
ольжичи ;125192;Ne;Olzhichi;Ольжичи
ольшие;132887;Ne;Oleshie;Олешье
олѣбъ;124437;Ne;Oleb (Uleb);Олеб (Улеб)
онако;121242;Df;however;однако
ондроникъ;130677;Ne;Andronik;Андроник
ондрѣевъскыи;140415;A-;Andrey's;андреевский
ония;124182;Ne;Onia;Ония
оныи;122991;Pd;that, other;тот, другой
опасьно;134506;Df;with deligence;тщательно
опослѣ;139139;Df;after;после
опричьно;135768;R-;except;кроме
опрочь;124687;Df;besides;кроме
опять;123016;Df;again;опять
орефа;139742;Ne;Arefa;Арефа
орина;121097;Ne;Orina (Arina);Орина (Арина)
орогостя;134121;Ne;Orogost;Орогость
осе;131906;I-;(focus particle);вот
осии;130400;Ne;Hosea;Осия
осипъ;140154;Ne;Osip;Осип
осмыи;131526;Mo;8th;восьмой
осмь;130515;Ma;8;8
осмьдесятъ;120817;Ma;80;80
осмьнадесять;130516;Ma;18;18
осмьсътъ;143048;Ma;800;800
островъ;120282;Nb;island;остров
остромъ;134123;Ne;Ostrom;Остром
отаи;142871;R-;secret from;тайно от
ото;134784;I-;(focus particle);вот
отруби;131270;Nb;bran;отруби
отъ;139277;Pd;this;-то
отъвьсюду;125485;Df;from elsewhere;отовсюду
отъинудь;130068;Df;from other place, entirely;из другого места, совершенно
отъколѣ;139564;Df;where from;откуда
отъкуду;120595;Du;whence;откуда
отъкуду;143282;Df;where from;откуда
отъкулѣ;139444;Df;where from;откуда
отънуду;142828;Df;at all;совершенно
отънудь;125516;Df;in no way;совершенно
отънынѣ;137415;Df;from now on;отныне
отъселѣ;130405;Df;from here;отсюда
отъсюда;124544;Df;from here;отсюда
отъсюду;123684;Df;from here;отсюда
отътолѣ;121213;Df;from there;оттуда
отътуда;121052;Df;from there;оттуда
отътудова;144298;Df;from there;оттуда
отътуду;133352;Df;from there;оттуда
отътуды;143678;Df;from there;оттуда
отътудѣ;124189;Df;from there;оттуда
отьчьскы;139751;Df;as a father;отечески
отьчьскыи;130866;A-;father's;отцовский
охъ;132896;I-;oh;ох
павьловъ;141457;A-;Pavel's;Павлов
павьлъ;124271;Ne;Paul;Павел
падунъ;139282;Ne;Padun;Падун
паисии;140469;Ne;Paisy, Bishoe;Паисий
палеилогъ;143412;Ne;Paleologue;Палеолог
палестина;140347;Ne;Palestine;Палестина
палестиньскыи;133351;A-;Palestinian;палестинский
пали;143689;Ne;Pali;Пали
памфилия;124012;Ne;Pamphylia;Памфилия
панония;124269;Ne;Pannon;Паннония
панфиръ ;124502;Ne;Panphir;Панфир
папинъ;143599;A-;Papin;Папин
парватъ;143946;Ne;Parvat;Парват
паръ;144169;Ne;Par;Пар
патриарховъ;138940;A-;patriarch's;патриаршеский
патрикии;124505;Nb;Patrician;Патриций
паче;120469;Df;more, especially;более, особенно же
пашковъ;139211;Ne;Pashkov;Пашков
певгъ;144030;Ne;Peug;Певг
пегу;144120;Ne;Pegu;Пегу
пеления;124115;Ne;Pelenia;Пеления
первоть;143889;Ne;Pervot;Первоть
переволока;133888;Ne;Perevoloka;Переволока
переди;134182;R-;ahead;впереди
переди;134225;Df;ahead;впереди
передъ;130012;R-;before;перед
передъслава;131549;Ne;Peredslava;Передслава
перемиль;133648;Ne;Peremil;Перемил
перемышль ;129925;Ne;Peremyshl;Перемышль
перенѣгъ;137599;Ne;Pereneg;Перенег
переяславль;124529;Ne;Pereyaslavl;Переяславль
переяславьскыи;132502;A-;Pereyaslav;переяславский
переяславьць;125167;Ne;Pereyaslavets;Переяславец
пермъскыи;138915;A-;Perm;пермский
персида;140959;Ne;Perseide;Персида
персьскыи;123075;A-;Persian;персидский
перунъ;124481;Ne;Perun;Перун
перьсида;123932;Ne;Perseide;Персида
петровичь;141409;A-;Peter's;Петров
петровъ;120356;A-;Peter's;Петров
петръ;123365;Ne;Peter;Петр
петь;140523;Df;(intens. particle);уж
печенѣжанинъ;130721;Nb;Pecheneg;печенег
печенѣжинъ;130757;Nb;Pecheneg;печенег
печенѣжьскы;134804;Df;as a Pecheneg;печенежски
печенѣжьскыи;125182;A-;Pecheneg;печенежский
печера;123064;Ne;Pechora;Печора
печерьскыи;132095;A-;Pecherski;печерский
пилатовъ;121276;A-;Pilati;Пилатов
пилатъ;130203;Ne;Pilatus;Пилат
пиньскъ;133398;Ne;Pinsk;Пинск
пинянинъ;134061;Nb;resident of Pinsk;пинянин
писидия;124013;Ne;Pisidia;Писидия
пищана;130013;Ne;Piscana;Пищана
платана;144485;Ne;Platana;Платана
плесо;143594;Ne;Pleso;Плесо
плотъничьскыи;135859;A-;carpenter's;плотницкий
плътьскы;134881;Df;in bodily form;плотски
плътьскыи;133088;A-;bodily;плотский
пльсковитинъ;124160;Nb;resident of Pskov;житель Пскова
пльсковичь;123578;Nb;resident of Pskov;пскович
пльсковъ;123580;Ne;Pskov;Псков
пльсковьскыи;123576;A-;Pskov;псковский
повольскыи;138937;A-;Povolski;повольский
повьсюду;140534;Df;everywhere;повсюду
поганьскы;132404;Df;pagan;язычески
поганьскыи;125078;A-;pagan;языческий
поганьскыи;132407;Df;pagan;язычески
поголовие;144272;Nb;livestock, in total;поголовье, общее число
погорина;133613;Ne;Pogorina;Погорина
подали;132687;R-;aloof;вдали от
подали;133377;Df;aside;поодаль
подешевле;140603;Df;cheaper;подешевле
подобьно;131445;Df;like;подобно
подобьнѣ;141141;Df;like;подобно
подольскыи;144183;A-;Podol;подольский
подъ;120364;R-;under, below;под
подълѣ;132672;R-;near, next to;возле
подьячии;137424;Nb;clerk;подьячий
позвиздъ;131503;Ne;Pozvizd;Позвизд
поздьно;135508;Df;late;поздно
покровъ;134338;Nb;Protection;покров
политианъ;130977;Ne;Politian;Политиан
половьчьскыи;132872;A-;Polovtsian;половецкий
половьчинъ;133427;Nb;Polovets;половец
полопонисъ ;124116;Ne;Pelopones;Пелопонес
полота;122706;Ne;Polota;Полота
полотьскыи;125407;A-;Polotsk;полоцкий
полочане;122731;Nb;residents of Polotsk;полочане
полътораста;123579;Ma;1500;1500
польша;140939;Ne;Poland;Польша
поляне;121138;Nb;Polan;поляне
полянинъ;122808;Nb;Polyan;полянин
полянинъ;130560;Ne;Polyan;полянин
помазовъ;123466;Ne;Pomazov;Помазов
помаленьку;139489;Df;little by little;понемножку
помалѣ;141154;Df;soon;вскоре
поморяне;122698;Nb;Pomors;поморы
пониже;143373;R-;down;пониже
понтъ;122791;Ne;Pontus (Black sea);Понт (Черное море)
понтьскыи;122811;A-;Pontic (Black sea);понтский
поперекъ;140516;R-;across;пеперек
попинъ;132460;Nb;priestling;поп
поповичь;141401;A-;priest's son;попович
посадьниковъ;131438;A-;burgomaster's;посадников
поселянинъ;125517;Nb;vlllager;поселянин
послѣ;136381;R-;after;после
послѣ;136578;Df;after;после
послѣдь;129770;Df;afterwards;впоследствии
послѣже;133893;R-;after;после
посрѣдѣ;124364;R-;amidst;посреди
посъловъ;143634;A-;ambassador's;посла
потаи;139539;Df;secretly;тайно
потаи;140386;R-;secret from;тайком
потьмъкы;139014;Nb;darkness;потемки
потому;135628;Df;because;потому
потомь;120874;Df;then;потом
похви;136814;Nb;saddle strap;похви (седельный ремень)
почаина;134310;Ne;Pochaina;Почайна
почьто;123976;Du;for what;зачем
прастѣнъ ;124402;Ne;Prasten;Прастен
предъславино;129779;Ne;Predslavino;Предславино
